Id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
25611,49,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,wed,227,4,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
26010,37,entrepreneur,married,university.degree,no,no,no,telephone,nov,wed,202,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
40194,78,retired,married,basic.4y,no,no,no,cellular,jul,mon,1148,1,999,0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,yes
297,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36344,59,retired,divorced,university.degree,no,no,no,cellular,jun,tue,368,2,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
21806,29,admin.,single,university.degree,no,no,no,cellular,aug,wed,256,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
37395,26,student,single,basic.9y,no,no,no,telephone,aug,wed,449,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
25863,30,blue-collar,married,basic.4y,no,yes,no,cellular,nov,wed,126,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
7393,50,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,574,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
14697,33,admin.,single,high.school,no,yes,no,cellular,jul,tue,498,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
17537,44,services,divorced,high.school,no,yes,no,cellular,jul,mon,158,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
1595,32,technician,married,university.degree,no,yes,no,telephone,may,fri,93,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
13720,26,self-employed,single,professional.course,no,yes,no,cellular,jul,thu,71,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
12258,43,management,married,university.degree,no,no,yes,telephone,jul,thu,203,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
32042,56,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,369,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
31118,40,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,954,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,yes
20444,32,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,105,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
4216,47,technician,single,professional.course,unknown,no,no,telephone,may,tue,148,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
6347,50,services,single,basic.4y,no,yes,no,telephone,may,tue,98,9,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39226,34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,288,2,3,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes
20441,46,services,married,unknown,no,no,no,cellular,aug,tue,177,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
32051,39,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,155,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
12588,41,admin.,divorced,basic.6y,no,no,no,telephone,jul,mon,141,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
5656,30,technician,single,unknown,no,yes,no,telephone,may,mon,144,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
